Team Id,Team Name,Candidate Type,Candidate's Name,Candidate's Email,Candidate's Mobile,Candidate's Gender,Country,Course Pursuing,Course Stream,Specialization,Year Of Study,Passing Out Year,Candidate's Organisation,Registration Time,Leader Name,Leader Email,Leader Phone,Leader College,Leader Year,Members
UT0V02H2,Quia eaque,team leader,Tiya Krishnamurthy,tiyakrishnamurthy@example.com,8421266071.0,M,India,Engineering,B.Tech/BE,Computer Science,First Year,2027.0,"Amity University (AU), Gwalior, Madhya Pradesh",2024-02-24 21:21:08,,,,,,
UQI949V6,Ab eius,team member,Krish Madan,krishmadan@example.com,4823927726.0,M,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025.0,Sister Nivedita University (SNU),2024-02-24 22:04:56,,,,,,
UQI949V6,Ab eius,team member,Shlok Varughese,shlokvarughese@example.com,2196306734.0,M,India,Engineering,B.Tech/BE,Computer Science,First Year,2025.0,"Indian Institute of Technology (IIT), Patna",2024-02-24 22:04:56,,,,,,
UQI949V6,Ab eius,team leader,Aaryahi Gara,aaryahigara@example.com,9207423064.0,M,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025.0,Sister Nivedita University (SNU),2024-02-24 22:03:42,,,,,,
U486J3FV,Illo impedit,team leader,Ahana  Gokhale,ahanagokhale@example.com,5318661231.0,M,India,,,,,,Ms Enterprise,2024-02-24 22:15:45,,,,,,
UQ2F9S53,Ex sapiente,team leader,Anahi Varghese,anahivarghese@example.com,912336154745.0,F,India,,,,,,"Subodh Public School, Rambagh, Jaipur",2024-02-24 23:28:36,,,,,,
US7D3J53,Labore aliquid,team leader,Eshani Kunda,eshanikunda@example.com,8716251234.0,M,India,,,,,2022.0,Ramanand Arya D.A.V. College,2024-02-25 0:11:06,,,,,,
UZ6Q50L1,Cupiditate accusamus,team leader,Ivana Baria,ivanabaria@example.com,7951352026.0,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025.0,"Vignan's Institute of Information Technology, Andhra Pradesh",2024-02-25 7:56:25,,,,,,
U587XYP7,Distinctio fugit,team leader,Zeeshan Shetty,zeeshanshetty@example.com,9450753210.0,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025.0,"Vignan's Institute of Information Technology, Andhra Pradesh",2024-02-25 8:47:13,,,,,,
UE3XM085,Repellendus at,team leader,Ira Baral,irabaral@example.com,916378372357.0,M,India,Engineering,B.Tech/BE,,,2023.0,"Ajay Kumar Garg Engineering College (AKGEC), Ghaziabad",2024-02-25 8:53:51,,,,,,
UE3XM085,Repellendus at,team member,Reyansh Grewal,reyanshgrewal@example.com,913527441263.0,M,India,Engineering,B.Tech/BE,Electronics and Communication,,2023.0,"Ajay Kumar Garg Engineering College (AKGEC), Ghaziabad",2024-02-25 8:56:41,,,,,,
UWXR5765,Aperiam eaque,team leader,Shalv Chakraborty,shalvchakraborty@example.com,6839250990.0,M,India,Engineering,B.Tech/BE,Electronics and Communication,First Year,2027.0,"Govind Ballabh Pant Engineering College, Pauri (GBPEC)",2024-02-25 9:28:02,,,,,,
U746I7EV,Velit quae,team leader,Tanya Chawla,tanyachawla@example.com,5756579507.0,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025.0,"Vignan's Institute of Information Technology (VIIT), Duvvada, Visakhapatnam",2024-02-25 9:33:17,,,,,,
UTA4790P,Totam quos,team leader,Arnav Saraf,arnavsaraf@example.com,8294195498.0,M,India,"Arts, Science & Commerce",Company Secretary,Commerce,Second Year,2026.0,Institute of Company Secretaries of India,2024-02-25 9:47:41,,,,,,
U1DA6S40,Doloremque voluptas,team leader,Ayesha Barman,ayeshabarman@example.com,5976726424.0,F,India,Engineering,B.Tech/BE,Computer Science,Third Year,2025.0,"Vignan's Institute of Information Technology, Andhra Pradesh",2024-02-25 10:17:00,,,,,,
U293FT2P,Consequuntur corporis,team member,Amira Sidhu,amirasidhu@example.com,917097859778.0,M,India,Engineering,B.Tech/BE,Computer Science,Second Year,2026.0,"Sambalpur University Institute of Information Technology (SUIIT), Sambalpur University",2024-02-26 13:11:57,,,,,,
U293FT2P,Consequuntur corporis,team leader,Saira Sharma,sairasharma@example.com,918518779124.0,M,India,Engineering,B.Tech/BE,Computer Science,Second Year,2026.0,"Sambalpur University Institute of Information Technology (SUIIT), Sambalpur University",2024-02-25 11:07:36,,,,,,
